,prompts,outputs_tags,tags,values
62,¿Cual es la marca del codigo 8509?,marca,codigo,8509
63,¿Cuáles son el negocio del codigo 16529?,negocio,codigo,16529
64,¿Cual es  el calibre del codigo 22339?,calibre,codigo,22339
65,¿Cuáles son el negocio del codigo 13?,negocio,codigo,13
66,¿Cuáles son el negocio del codigo 22496?,negocio,codigo,22496
67,¿Cual es  el stock del codigo 899?,stock,codigo,899
68,¿Cuáles son el negocio del codigo 7490?,negocio,codigo,7490
69,¿Cuáles son el negocio del codigo 22588?,negocio,codigo,22588
70,¿Cuáles son  los stocks de la marca Campari?,stock,marca,Campari
71,¿Cuáles son el negocio del codigo 13504?,negocio,codigo,13504
72,¿Cual es la marca del codigo 13953?,marca,codigo,13953
73,¿Cual es  el calibre del codigo 19086?,calibre,codigo,19086
74,¿Cual es la marca del codigo 20994?,marca,codigo,20994
75,¿Cual es la marca del codigo 16936?,marca,codigo,16936
76,¿Cuáles son  los stocks de la marca Vermu?,stock,marca,Vermu
77,¿Cual es la marca del codigo 23112?,marca,codigo,23112
78,¿Cual es  el stock del codigo 1401?,stock,codigo,1401
79,¿Cuáles son  los stocks del calibre 700?,stock,calibre,700
80,¿Cual es la marca del codigo 12430?,marca,codigo,12430
81,¿Cual es la marca del codigo 82?,marca,codigo,82
82,¿Cual es la marca del codigo 22064?,marca,codigo,22064
83,¿Cual es  el stock del codigo 13222?,stock,codigo,13222
84,¿Cual es  el calibre del codigo 14938?,calibre,codigo,14938
85,¿Cual es la marca del codigo 627?,marca,codigo,627
86,¿Cual es  el calibre del codigo 7125?,calibre,codigo,7125
87,¿Cual es  el stock del codigo 13499?,stock,codigo,13499
88,¿Cuáles son  los calibres de la marca goose island?,calibre,marca,goose island
89,¿Cual es  el stock del codigo 19090?,stock,codigo,19090
90,¿Cuáles son el negocio del codigo 2377?,negocio,codigo,2377
91,¿Cuáles son el negocio del codigo 17922?,negocio,codigo,17922
92,¿Cual es  el calibre del codigo 23231?,calibre,codigo,23231
93,¿Cual es la marca del codigo 22173?,marca,codigo,22173
94,¿Cual es la marca del codigo 18587?,marca,codigo,18587
95,¿Cuáles son el negocio del codigo 62112?,negocio,codigo,62112
96,¿Cuáles son el negocio del codigo 7651?,negocio,codigo,7651
97,¿Cual es  el calibre del codigo 21849?,calibre,codigo,21849
98,¿Cuáles son las marcas del negocio Vino?,marca,negocio,Vino
99,¿Cuáles son el negocio del calibre 340?,negocio,calibre,340
100,¿Cuáles son el negocio del codigo 21853?,negocio,codigo,21853
101,¿Cuáles son  los codigos del calibre 473?,codigo,calibre,473
102,¿Cual es  el calibre del codigo 899?,calibre,codigo,899
103,¿Cual es la marca del codigo 2057?,marca,codigo,2057
104,¿Cuáles son el negocio del codigo 20808?,negocio,codigo,20808
105,¿Cuáles son  los calibres de la marca gran dante?,calibre,marca,gran dante
106,¿Cual es  el stock del codigo 15605?,stock,codigo,15605
107,¿Cuáles son el negocio del codigo 820?,negocio,codigo,820
108,¿Cual es la marca del codigo 24875?,marca,codigo,24875
109,¿Cual es  el stock del codigo 50?,stock,codigo,50
110,¿Cual es  el calibre del codigo 8127?,calibre,codigo,8127
111,¿Cual es  el stock del codigo 21680?,stock,codigo,21680
112,¿Cuáles son el negocio del codigo 22322?,negocio,codigo,22322
113,¿Cual es la marca del codigo 18572?,marca,codigo,18572
114,¿Cuáles son el negocio del codigo 16528?,negocio,codigo,16528
115,¿Cuáles son el negocio del codigo 23110?,negocio,codigo,23110
116,¿Cual es  el stock del codigo 22322?,stock,codigo,22322
117,¿Cual es la marca del codigo 132?,marca,codigo,132
118,¿Cual es  el stock del codigo 19524?,stock,codigo,19524
119,¿Cual es  el calibre del codigo 667?,calibre,codigo,667
120,¿Cuáles son el negocio del codigo 20994?,negocio,codigo,20994
121,¿Cual es  el calibre del codigo 352?,calibre,codigo,352
122,¿Cual es  el calibre del codigo 15233?,calibre,codigo,15233
123,¿Cual es la marca del codigo 2430?,marca,codigo,2430
124,¿Cuáles son  los stocks de la marca robino?,stock,marca,robino
125,¿Cual es la marca del codigo 18377?,marca,codigo,18377
126,¿Cual es  el stock del codigo 100?,stock,codigo,100
127,¿Cual es  el calibre del codigo 19193?,calibre,codigo,19193
128,¿Cual es el negocio de la marca iguana?,negocio,marca,iguana
129,¿Cual es  el stock del codigo 2377?,stock,codigo,2377
130,¿Cual es  el stock del codigo 7032?,stock,codigo,7032
131,¿Cual es  el calibre del codigo 20999?,calibre,codigo,20999
132,¿Cuáles son el negocio del codigo 838?,negocio,codigo,838
133,¿Cuáles son el negocio del codigo 17361?,negocio,codigo,17361
134,¿Cuáles son  los stocks de la marca andes origen rubia?,stock,marca,andes origen rubia
135,¿Cual es la marca del codigo 11944?,marca,codigo,11944
136,¿Cual es  el stock del codigo 14095?,stock,codigo,14095
137,¿Cual es  el calibre del codigo 23271?,calibre,codigo,23271
138,¿Cuáles son el negocio del calibre 740?,negocio,calibre,740
139,¿Cual es  el calibre del codigo 13227?,calibre,codigo,13227
140,¿Cual es la marca del codigo 15163?,marca,codigo,15163
141,¿Cual es la marca del codigo 18355?,marca,codigo,18355
142,¿Cual es  el calibre del codigo 16137?,calibre,codigo,16137
143,¿Cual es  el stock del codigo 22506?,stock,codigo,22506
144,¿Cual es la marca del codigo 18588?,marca,codigo,18588
145,¿Cual es la marca del codigo 2900?,marca,codigo,2900
146,¿Cuáles son el negocio del codigo 7698?,negocio,codigo,7698
147,¿Cuáles son el negocio del codigo 14511?,negocio,codigo,14511
148,¿Cual es la marca del codigo 16375?,marca,codigo,16375
149,¿Cuáles son el negocio del codigo 7115?,negocio,codigo,7115
150,¿Cuáles son el negocio del codigo 21455?,negocio,codigo,21455
151,¿Cual es  el calibre del codigo 281?,calibre,codigo,281
152,¿Cual es  el calibre del codigo 2458?,calibre,codigo,2458
153,¿Cual es la marca del codigo 11042?,marca,codigo,11042
154,¿Cual es la marca del codigo 1560?,marca,codigo,1560
155,¿Cual es la marca del codigo 22222?,marca,codigo,22222
156,¿Cual es  el calibre del codigo 24031?,calibre,codigo,24031
157,¿Cual es  el calibre del codigo 16767?,calibre,codigo,16767
158,¿Cual es la marca del codigo 19088?,marca,codigo,19088
159,¿Cuáles son el negocio del codigo 5411?,negocio,codigo,5411
160,¿Cual es  el calibre del codigo 22327?,calibre,codigo,22327
161,¿Cual es  el stock del codigo 14104?,stock,codigo,14104
162,¿Cual es  el calibre del codigo 15624?,calibre,codigo,15624
163,¿Cual es la marca del codigo 21014?,marca,codigo,21014
164,¿Cual es  el stock del codigo 61678?,stock,codigo,61678
165,¿Cual es la marca del codigo 22996?,marca,codigo,22996
166,¿Cuáles son el negocio del codigo 10591?,negocio,codigo,10591
167,¿Cuáles son el negocio del codigo 22607?,negocio,codigo,22607
168,¿Cuáles son el negocio del codigo 23272?,negocio,codigo,23272
169,¿Cual es  el calibre del codigo 21779?,calibre,codigo,21779
170,¿Cuáles son el negocio del codigo 11835?,negocio,codigo,11835
171,¿Cual es  el stock del codigo 16986?,stock,codigo,16986
172,¿Cual es  el calibre del codigo 6578?,calibre,codigo,6578
173,¿Cuáles son el negocio del codigo 17637?,negocio,codigo,17637
174,¿Cuáles son las marcas del calibre 340?,marca,calibre,340
175,¿Cuáles son  los stocks del calibre 950?,stock,calibre,950
176,¿Cual es la marca del codigo 23417?,marca,codigo,23417
177,¿Cual es la marca del codigo 740?,marca,codigo,740
178,¿Cual es la marca del codigo 2156?,marca,codigo,2156
179,¿Cual es  el stock del codigo 8064?,stock,codigo,8064
180,¿Cuáles son  los codigos del calibre 750?,codigo,calibre,750
181,¿Cuáles son  los codigos de la marca quilmes bajo cero?,codigo,marca,quilmes bajo cero
182,¿Cual es  el stock del codigo 20356?,stock,codigo,20356
183,¿Cual es  el calibre del codigo 20810?,calibre,codigo,20810
184,¿Cual es  el calibre del codigo 16618?,calibre,codigo,16618
185,¿Cuáles son el negocio del codigo 24071?,negocio,codigo,24071
186,¿Cual es la marca del codigo 1648?,marca,codigo,1648
187,¿Cual es  el calibre del codigo 22456?,calibre,codigo,22456
188,¿Cuáles son el negocio del codigo 8509?,negocio,codigo,8509
189,¿Cuáles son las marcas del calibre 6.3 bidon?,marca,calibre,6.3 bidon
190,¿Cual es  el stock del codigo 18564?,stock,codigo,18564
191,¿Cuáles son  los codigos de la marca tratenfu?,codigo,marca,tratenfu
192,¿Cual es  el stock del codigo 7174?,stock,codigo,7174
193,¿Cual es  el stock del codigo 19089?,stock,codigo,19089
194,¿Cual es la marca del codigo 24598?,marca,codigo,24598
195,¿Cual es  el stock del codigo 21033?,stock,codigo,21033
196,¿Cual es  el calibre del codigo 12738?,calibre,codigo,12738
197,¿Cual es  el stock del codigo 12722?,stock,codigo,12722
198,¿Cual es  el calibre del codigo 1433?,calibre,codigo,1433
199,¿Cual es  el stock del codigo 23271?,stock,codigo,23271
200,¿Cual es  el calibre del codigo 21558?,calibre,codigo,21558
201,¿Cual es la marca del codigo 741?,marca,codigo,741
202,¿Cual es la marca del codigo 353?,marca,codigo,353
203,¿Cual es  el stock del codigo 18595?,stock,codigo,18595
204,¿Cual es la marca del codigo 1170?,marca,codigo,1170
205,¿Cuáles son el negocio del codigo 23252?,negocio,codigo,23252
206,¿Cual es  el stock del codigo 937?,stock,codigo,937
207,¿Cuáles son el negocio del codigo 13630?,negocio,codigo,13630
208,¿Cuáles son el negocio del codigo 22458?,negocio,codigo,22458
209,¿Cual es  el stock del codigo 17518?,stock,codigo,17518
210,¿Cual es la marca del codigo 2440?,marca,codigo,2440
211,¿Cuáles son el negocio del codigo 15238?,negocio,codigo,15238
212,¿Cual es  el calibre del codigo 21970?,calibre,codigo,21970
213,¿Cual es  el stock del codigo 76447?,stock,codigo,76447
214,¿Cual es  el stock del codigo 24252?,stock,codigo,24252
215,¿Cuáles son el negocio del codigo 12430?,negocio,codigo,12430
216,¿Cual es  el stock del codigo 22293?,stock,codigo,22293
217,¿Cual es  el calibre del codigo 16754?,calibre,codigo,16754
218,¿Cual es  el stock del codigo 824?,stock,codigo,824
219,¿Cual es  el stock del codigo 741?,stock,codigo,741
220,¿Cuáles son el negocio del codigo 22946?,negocio,codigo,22946
221,¿Cual es  el calibre del codigo 20994?,calibre,codigo,20994
222,¿Cual es  el stock del codigo 22532?,stock,codigo,22532
223,¿Cual es  el stock del codigo 19569?,stock,codigo,19569
224,¿Cuáles son el negocio del codigo 21741?,negocio,codigo,21741
225,¿Cual es la marca del codigo 22016?,marca,codigo,22016
226,¿Cuáles son  los calibres del negocio UNG?,calibre,negocio,UNG
227,¿Cual es la marca del codigo 20998?,marca,codigo,20998
228,¿Cuáles son el negocio del codigo 1433?,negocio,codigo,1433
229,¿Cual es  el stock del codigo 16768?,stock,codigo,16768
230,¿Cual es  el calibre del codigo 21464?,calibre,codigo,21464
231,¿Cuáles son el negocio del codigo 7026?,negocio,codigo,7026
232,¿Cual es  el stock del codigo 17989?,stock,codigo,17989
233,¿Cuáles son el negocio del codigo 11072?,negocio,codigo,11072
234,¿Cuáles son  los codigos del calibre 20 l barril?,codigo,calibre,20 l barril
235,¿Cual es la marca del codigo 18591?,marca,codigo,18591
236,¿Cual es  el stock del codigo 5483?,stock,codigo,5483
237,¿Cuáles son  los stocks de la marca patagonia octubrefest?,stock,marca,patagonia octubrefest
238,¿Cual es la marca del codigo 18878?,marca,codigo,18878
239,¿Cual es  el calibre del codigo 14941?,calibre,codigo,14941
240,¿Cual es el negocio de la marca michelob ultra?,negocio,marca,michelob ultra
241,¿Cual es  el calibre del codigo 22490?,calibre,codigo,22490
242,¿Cual es  el calibre del codigo 15094?,calibre,codigo,15094
243,¿Cual es la marca del codigo 1400?,marca,codigo,1400
244,¿Cual es el negocio de la marca andes origen vendimia?,negocio,marca,andes origen vendimia
245,¿Cuáles son el negocio del codigo 2449?,negocio,codigo,2449
246,¿Cuáles son el negocio del codigo 19342?,negocio,codigo,19342
247,¿Cuáles son el negocio del codigo 23106?,negocio,codigo,23106
248,¿Cual es la marca del codigo 22474?,marca,codigo,22474
249,¿Cuáles son  los calibres del negocio Vino?,calibre,negocio,Vino
250,¿Cuáles son  los stocks de la marca paso de los toros?,stock,marca,paso de los toros
251,¿Cual es  el calibre del codigo 22390?,calibre,codigo,22390
252,¿Cual es la marca del codigo 7468?,marca,codigo,7468
253,¿Cuáles son el negocio del calibre 1500?,negocio,calibre,1500
254,¿Cual es la marca del codigo 12165?,marca,codigo,12165
255,¿Cual es  el stock del codigo 2540?,stock,codigo,2540
256,¿Cuáles son el negocio del codigo 2881?,negocio,codigo,2881
257,¿Cual es  el calibre del codigo 10808?,calibre,codigo,10808
258,¿Cuáles son el negocio del codigo 16370?,negocio,codigo,16370
259,¿Cual es el negocio de la marca baltica?,negocio,marca,baltica
260,¿Cual es  el stock del codigo 133?,stock,codigo,133
261,¿Cual es  el calibre del codigo 8065?,calibre,codigo,8065
262,¿Cual es la marca del codigo 11832?,marca,codigo,11832
263,¿Cuáles son  los calibres de la marca pinta de la paz?,calibre,marca,pinta de la paz
264,¿Cual es  el stock del codigo 15238?,stock,codigo,15238
265,¿Cual es  el stock del codigo 7606?,stock,codigo,7606
266,¿Cuáles son el negocio del codigo 8095?,negocio,codigo,8095
267,¿Cuáles son el negocio del codigo 5642?,negocio,codigo,5642
268,¿Cuáles son el negocio del codigo 21681?,negocio,codigo,21681
269,¿Cual es  el stock del codigo 2121?,stock,codigo,2121
270,¿Cual es  el stock del codigo 21849?,stock,codigo,21849
271,¿Cual es  el calibre del codigo 5697?,calibre,codigo,5697
272,¿Cuáles son  los calibres de la marca quilmes bajo cero?,calibre,marca,quilmes bajo cero
273,¿Cuáles son el negocio del codigo 1637?,negocio,codigo,1637
274,¿Cual es  el stock del codigo 19662?,stock,codigo,19662
275,¿Cual es  el stock del codigo 76368?,stock,codigo,76368
276,¿Cuáles son el negocio del codigo 100?,negocio,codigo,100
277,¿Cual es el negocio de la marca patagonia abrazo oso?,negocio,marca,patagonia abrazo oso
278,¿Cual es  el calibre del codigo 1170?,calibre,codigo,1170
279,¿Cual es  el calibre del codigo 1982?,calibre,codigo,1982
280,¿Cuáles son el negocio del codigo 2853?,negocio,codigo,2853
281,¿Cual es  el calibre del codigo 898?,calibre,codigo,898
282,¿Cuáles son  los calibres de la marca bock quilmes?,calibre,marca,bock quilmes
283,¿Cual es  el calibre del codigo 19369?,calibre,codigo,19369
284,¿Cuáles son el negocio del codigo 22973?,negocio,codigo,22973
285,¿Cual es  el stock del codigo 19108?,stock,codigo,19108
286,¿Cuáles son el negocio del codigo 18694?,negocio,codigo,18694
287,¿Cual es  el calibre del codigo 22619?,calibre,codigo,22619
288,¿Cual es la marca del codigo 1495?,marca,codigo,1495
289,¿Cual es la marca del codigo 23958?,marca,codigo,23958
290,¿Cual es  el stock del codigo 22588?,stock,codigo,22588
291,¿Cual es  el calibre del codigo 24880?,calibre,codigo,24880
292,¿Cual es  el stock del codigo 22495?,stock,codigo,22495
293,¿Cuáles son el negocio del codigo 5512?,negocio,codigo,5512
294,¿Cual es la marca del codigo 19112?,marca,codigo,19112
295,¿Cuáles son  los codigos del negocio CORE?,codigo,negocio,CORE
296,¿Cuáles son el negocio del codigo 2654?,negocio,codigo,2654
297,¿Cuáles son el negocio del codigo 5587?,negocio,codigo,5587
298,¿Cuáles son el negocio del codigo 5875?,negocio,codigo,5875
299,¿Cual es  el calibre del codigo 2450?,calibre,codigo,2450
300,¿Cual es  el calibre del codigo 24252?,calibre,codigo,24252
301,¿Cual es la marca del codigo 76368?,marca,codigo,76368
302,¿Cual es la marca del codigo 16315?,marca,codigo,16315
303,¿Cual es la marca del codigo 23265?,marca,codigo,23265
304,¿Cual es  el calibre del codigo 61676?,calibre,codigo,61676
305,¿Cual es  el stock del codigo 22501?,stock,codigo,22501
306,¿Cuáles son las marcas del calibre 750?,marca,calibre,750
307,¿Cuáles son el negocio del codigo 19140?,negocio,codigo,19140
308,¿Cual es  el stock del codigo 22653?,stock,codigo,22653
309,¿Cual es  el stock del codigo 12201?,stock,codigo,12201
310,¿Cual es  el stock del codigo 8526?,stock,codigo,8526
311,¿Cuáles son  los stocks de la marca patagonia kune?,stock,marca,patagonia kune
312,¿Cuáles son  los stocks de la marca andes origen vendimia?,stock,marca,andes origen vendimia
313,¿Cual es la marca del codigo 22337?,marca,codigo,22337
314,¿Cual es la marca del codigo 1948?,marca,codigo,1948
315,¿Cual es  el stock del codigo 19339?,stock,codigo,19339
316,¿Cual es  el calibre del codigo 23417?,calibre,codigo,23417
317,¿Cuáles son el negocio del codigo 18545?,negocio,codigo,18545
318,¿Cuáles son el negocio del codigo 5294?,negocio,codigo,5294
319,¿Cual es la marca del codigo 13500?,marca,codigo,13500
320,¿Cual es el negocio de la marca pinta de la paz?,negocio,marca,pinta de la paz
321,¿Cual es el negocio de la marca Dr lemon?,negocio,marca,Dr lemon
322,¿Cual es  el stock del codigo 2284?,stock,codigo,2284
323,¿Cual es  el calibre del codigo 18438?,calibre,codigo,18438
324,¿Cual es  el calibre del codigo 19568?,calibre,codigo,19568
325,¿Cuáles son  los codigos del calibre 269?,codigo,calibre,269
326,¿Cuáles son el negocio del codigo 19369?,negocio,codigo,19369
327,¿Cuáles son el negocio del codigo 8411?,negocio,codigo,8411
328,¿Cual es  el calibre del codigo 15172?,calibre,codigo,15172
329,¿Cuáles son  los calibres de la marca termidor?,calibre,marca,termidor
330,¿Cual es  el calibre del codigo 17952?,calibre,codigo,17952
331,¿Cuáles son las marcas del calibre 330?,marca,calibre,330
332,¿Cual es la marca del codigo 1426?,marca,codigo,1426
333,¿Cual es el negocio de la marca nestle pureza vital?,negocio,marca,nestle pureza vital
334,¿Cuáles son las marcas del calibre 2000?,marca,calibre,2000
335,¿Cual es  el stock del codigo 20810?,stock,codigo,20810
336,¿Cual es  el calibre del codigo 22441?,calibre,codigo,22441
337,¿Cual es  el stock del codigo 14103?,stock,codigo,14103
338,¿Cuáles son el negocio del codigo 16400?,negocio,codigo,16400
339,¿Cual es  el stock del codigo 7025?,stock,codigo,7025
340,¿Cuáles son  los codigos del calibre 350?,codigo,calibre,350
341,¿Cual es  el stock del codigo 7115?,stock,codigo,7115
342,¿Cual es la marca del codigo 19587?,marca,codigo,19587
343,¿Cual es  el calibre del codigo 17850?,calibre,codigo,17850
344,¿Cual es  el calibre del codigo 20446?,calibre,codigo,20446
345,¿Cual es  el calibre del codigo 22443?,calibre,codigo,22443
346,¿Cual es  el calibre del codigo 17989?,calibre,codigo,17989
347,¿Cual es la marca del codigo 2462?,marca,codigo,2462
348,¿Cuáles son el negocio del codigo 16315?,negocio,codigo,16315
349,¿Cuáles son el negocio del codigo 7480?,negocio,codigo,7480
350,¿Cual es  el stock del codigo 22330?,stock,codigo,22330
351,¿Cual es  el calibre del codigo 6982?,calibre,codigo,6982
352,¿Cuáles son el negocio del codigo 25135?,negocio,codigo,25135
353,¿Cual es  el stock del codigo 23424?,stock,codigo,23424
354,¿Cual es  el calibre del codigo 19368?,calibre,codigo,19368
355,¿Cual es  el calibre del codigo 2211?,calibre,codigo,2211
356,¿Cual es  el calibre del codigo 15163?,calibre,codigo,15163
357,¿Cual es la marca del codigo 23318?,marca,codigo,23318
358,¿Cual es la marca del codigo 2507?,marca,codigo,2507
359,¿Cual es  el calibre del codigo 474?,calibre,codigo,474
360,¿Cuáles son el negocio del codigo 21918?,negocio,codigo,21918
361,¿Cual es  el stock del codigo 19260?,stock,codigo,19260
362,¿Cuáles son el negocio del codigo 82?,negocio,codigo,82
363,¿Cuáles son  los codigos del calibre 2450?,codigo,calibre,2450
364,¿Cual es  el calibre del codigo 1561?,calibre,codigo,1561
365,¿Cual es  el stock del codigo 21974?,stock,codigo,21974
366,¿Cuáles son el negocio del codigo 12067?,negocio,codigo,12067
367,¿Cuáles son  los calibres de la marca tratenfu?,calibre,marca,tratenfu
368,¿Cuáles son el negocio del codigo 13952?,negocio,codigo,13952
369,¿Cual es  el stock del codigo 11740?,stock,codigo,11740
370,¿Cuáles son el negocio del calibre 1250 reco?,negocio,calibre,1250 reco
371,¿Cuáles son  los stocks de la marca andes origen trigueña?,stock,marca,andes origen trigueña
372,¿Cual es  el calibre del codigo 1106?,calibre,codigo,1106
373,¿Cual es  el stock del codigo 14446?,stock,codigo,14446
374,¿Cuáles son  los codigos de la marca andes origen roja?,codigo,marca,andes origen roja
375,¿Cual es  el stock del codigo 732?,stock,codigo,732
376,¿Cual es  el stock del codigo 16398?,stock,codigo,16398
377,¿Cuáles son las marcas del calibre 30 l barril?,marca,calibre,30 l barril
378,¿Cual es la marca del codigo 14625?,marca,codigo,14625
379,¿Cual es  el stock del codigo 7038?,stock,codigo,7038
380,¿Cual es  el stock del codigo 26?,stock,codigo,26
381,¿Cual es  el stock del codigo 7014?,stock,codigo,7014
382,¿Cual es  el stock del codigo 11071?,stock,codigo,11071
383,¿Cual es  el stock del codigo 7482?,stock,codigo,7482
384,¿Cuáles son el negocio del codigo 17517?,negocio,codigo,17517
385,¿Cuáles son el negocio del codigo 24358?,negocio,codigo,24358
386,¿Cuáles son  los codigos del calibre 700?,codigo,calibre,700
387,¿Cuáles son el negocio del codigo 17933?,negocio,codigo,17933
388,¿Cuáles son el negocio del codigo 16527?,negocio,codigo,16527
389,¿Cuáles son el negocio del codigo 2852?,negocio,codigo,2852
390,¿Cual es la marca del codigo 814?,marca,codigo,814
391,¿Cuáles son el negocio del codigo 5645?,negocio,codigo,5645
392,¿Cuáles son el negocio del codigo 11478?,negocio,codigo,11478
393,¿Cual es la marca del codigo 19661?,marca,codigo,19661
394,¿Cuáles son  los codigos del negocio destilados?,codigo,negocio,destilados
395,¿Cual es la marca del codigo 1414?,marca,codigo,1414
396,¿Cual es la marca del codigo 20360?,marca,codigo,20360
397,¿Cual es la marca del codigo 640?,marca,codigo,640
398,¿Cual es  el stock del codigo 8123?,stock,codigo,8123
399,¿Cuáles son el negocio del codigo 22016?,negocio,codigo,22016
400,¿Cual es la marca del codigo 21972?,marca,codigo,21972
401,¿Cuáles son las marcas del calibre 50 l barril?,marca,calibre,50 l barril
402,¿Cual es  el stock del codigo 10808?,stock,codigo,10808
403,¿Cuáles son  los codigos de la marca patagonia weisse?,codigo,marca,patagonia weisse
404,¿Cual es  el stock del codigo 20471?,stock,codigo,20471
405,¿Cuáles son el negocio del codigo 18572?,negocio,codigo,18572
406,¿Cuáles son el negocio del codigo 7615?,negocio,codigo,7615
407,¿Cual es  el stock del codigo 734?,stock,codigo,734
408,¿Cuáles son el negocio del codigo 18743?,negocio,codigo,18743
409,¿Cuáles son el negocio del codigo 17081?,negocio,codigo,17081
410,¿Cuáles son  los stocks de la marca ao miel?,stock,marca,ao miel
411,¿Cual es  el stock del codigo 18562?,stock,codigo,18562
412,¿Cuáles son el negocio del codigo 22456?,negocio,codigo,22456
413,¿Cuáles son el negocio del codigo 22330?,negocio,codigo,22330
414,¿Cual es  el calibre del codigo 17517?,calibre,codigo,17517
415,¿Cual es  el calibre del codigo 5445?,calibre,codigo,5445
416,¿Cual es la marca del codigo 7190?,marca,codigo,7190
417,¿Cual es  el stock del codigo 21299?,stock,codigo,21299
418,¿Cuáles son el negocio del calibre 50 l?,negocio,calibre,50 l
419,¿Cual es  el stock del codigo 21853?,stock,codigo,21853
420,¿Cual es  el calibre del codigo 824?,calibre,codigo,824
421,¿Cuáles son  los calibres de la marca temple scotish?,calibre,marca,temple scotish
422,¿Cual es la marca del codigo 1425?,marca,codigo,1425
423,¿Cual es la marca del codigo 22438?,marca,codigo,22438
424,¿Cual es  el stock del codigo 16951?,stock,codigo,16951
425,¿Cual es  el stock del codigo 24172?,stock,codigo,24172
