,prompts,outputs_tags,tags,values,tags2,values2
131,¿Cual es  el stock del codigo 2201?,stock,codigo,2201,,
132,¿Cuáles son el negocio del codigo 20446?,negocio,codigo,20446,,
133,¿Cuáles son el negocio del codigo 25120?,negocio,codigo,25120,,
134,¿Cuáles son el negocio del codigo 61676?,negocio,codigo,61676,,
135,¿Cuáles son  los stocks de la dante 2250 reco?,stock,marca,dante,calibre,2250 reco
136,¿Cual es  el calibre del codigo 23902?,calibre,codigo,23902,,
137,¿Cual es  el calibre del codigo 7055?,calibre,codigo,7055,,
138,¿Cuáles son  los codigos de la marca guarana?,codigo,marca,guarana,,
139,¿Cuáles son  los stocks de la eco de los andes 6.3 bidon?,stock,marca,eco de los andes,calibre,6.3 bidon
140,¿Cual es la marca del codigo 23061?,marca,codigo,23061,,
141,¿Cual es  el stock del codigo 7026?,stock,codigo,7026,,
142,¿Cuáles son el negocio del codigo 21261?,negocio,codigo,21261,,
143,¿Cual es  el stock del codigo 22589?,stock,codigo,22589,,
144,¿Cual es  el stock del codigo 14515?,stock,codigo,14515,,
145,¿Cuáles son  los stocks de la marca andes?,stock,marca,andes,,
146,¿Cuáles son  los stocks de la Vermu 210?,stock,marca,Vermu,calibre,210
147,¿Cuáles son las marcas del calibre 20 l barril?,marca,calibre,20 l barril,,
148,¿Cual es la marca del codigo 22946?,marca,codigo,22946,,
149,¿Cual es  el calibre del codigo 22474?,calibre,codigo,22474,,
150,¿Cuáles son  los codigos de la quilmes 200?,codigo,marca,quilmes,calibre,200
151,¿Cual es  el stock del codigo 76376?,stock,codigo,76376,,
152,¿Cuáles son  los codigos de la temple honey 20 l?,codigo,marca,temple honey,calibre,20 l
153,¿Cual es la marca del codigo 2440?,marca,codigo,2440,,
154,¿Cuáles son  los codigos de la marca quilmes?,codigo,marca,quilmes,,
155,¿Cuáles son las marcas del calibre 995?,marca,calibre,995,,
156,¿Cual es  el calibre del codigo 19019?,calibre,codigo,19019,,
157,¿Cuáles son  los calibres de la marca andes?,calibre,marca,andes,,
158,¿Cuáles son  los codigos de la patagonia ipa 30 l barril?,codigo,marca,patagonia ipa,calibre,30 l barril
159,¿Cuáles son  los stocks de la marca gordons?,stock,marca,gordons,,
160,¿Cual es  el calibre del codigo 22992?,calibre,codigo,22992,,
161,¿Cuáles son  los stocks de la bbc 300?,stock,marca,bbc,calibre,300
162,¿Cuáles son el negocio del codigo 10813?,negocio,codigo,10813,,
163,¿Cuáles son  los stocks de la patagonia bohemian pilsener 250?,stock,marca,patagonia bohemian pilsener,calibre,250
164,¿Cual es  el calibre del codigo 21464?,calibre,codigo,21464,,
165,¿Cual es  el stock del codigo 22458?,stock,codigo,22458,,
166,¿Cuáles son  los stocks del calibre barril 10 l?,stock,calibre,barril 10 l,,
167,¿Cuáles son  los stocks de la patagonia vera ipa 20 l?,stock,marca,patagonia vera ipa,calibre,20 l
168,¿Cuáles son las marcas del calibre 1000?,marca,calibre,1000,,
169,¿Cual es la marca del codigo 15237?,marca,codigo,15237,,
170,¿Cual es la marca del codigo 23112?,marca,codigo,23112,,
171,¿Cuáles son el negocio del calibre 2250 reco?,negocio,calibre,2250 reco,,
172,¿Cuáles son  los stocks de la mirinda 1650?,stock,marca,mirinda,calibre,1650
173,¿Cuáles son  los codigos de la quilmes red lager 10 l?,codigo,marca,quilmes red lager,calibre,10 l
174,¿Cuáles son  los codigos de la quilmes 355 lata?,codigo,marca,quilmes,calibre,355 lata
175,¿Cual es  el calibre del codigo 8412?,calibre,codigo,8412,,
176,¿Cual es  el stock del codigo 15233?,stock,codigo,15233,,
177,¿Cual es  el calibre del codigo 18743?,calibre,codigo,18743,,
178,¿Cual es  el calibre del codigo 13227?,calibre,codigo,13227,,
179,¿Cual es  el stock del codigo 5641?,stock,codigo,5641,,
180,¿Cuáles son el negocio del codigo 17869?,negocio,codigo,17869,,
181,¿Cuáles son  los stocks de la eco de los andes 750?,stock,marca,eco de los andes,calibre,750
182,¿Cual es la marca del codigo 18680?,marca,codigo,18680,,
183,¿Cual es  el stock del codigo 22499?,stock,codigo,22499,,
184,¿Cual es el negocio de la marca gatorade?,negocio,marca,gatorade,,
185,¿Cuáles son  los stocks de la dancer 6.3 bidon?,stock,marca,dancer,calibre,6.3 bidon
186,¿Cual es  el stock del codigo 22321?,stock,codigo,22321,,
187,¿Cual es  el calibre del codigo 18680?,calibre,codigo,18680,,
188,¿Cual es la marca del codigo 6886?,marca,codigo,6886,,
189,¿Cual es  el stock del codigo 22990?,stock,codigo,22990,,
190,¿Cuáles son el negocio del codigo 8226?,negocio,codigo,8226,,
191,¿Cual es  el calibre del codigo 22058?,calibre,codigo,22058,,
192,¿Cual es la marca del codigo 14094?,marca,codigo,14094,,
193,¿Cuáles son el negocio del codigo 20635?,negocio,codigo,20635,,
194,¿Cuáles son  los codigos de la red bull barril 10 l?,codigo,marca,red bull,calibre,barril 10 l
195,¿Cuáles son  los stocks de la brahma 2250 reco?,stock,marca,brahma,calibre,2250 reco
196,¿Cuáles son  los codigos de la budweiser 1250 reco?,codigo,marca,budweiser,calibre,1250 reco
197,¿Cuáles son  los codigos de la gatorade 950?,codigo,marca,gatorade,calibre,950
198,¿Cual es  el stock del codigo 14638?,stock,codigo,14638,,
199,¿Cual es la marca del codigo 18592?,marca,codigo,18592,,
200,¿Cual es la marca del codigo 20998?,marca,codigo,20998,,
201,¿Cuáles son el negocio del codigo 18746?,negocio,codigo,18746,,
202,¿Cual es  el calibre del codigo 22054?,calibre,codigo,22054,,
203,¿Cuáles son el negocio del codigo 8408?,negocio,codigo,8408,,
204,¿Cuáles son  los codigos de la budweiser 355 lata?,codigo,marca,budweiser,calibre,355 lata
205,¿Cuáles son el negocio del codigo 21864?,negocio,codigo,21864,,
206,¿Cual es  el calibre del codigo 648?,calibre,codigo,648,,
207,¿Cuáles son  los calibres de la marca patagonia bohemian pilsener?,calibre,marca,patagonia bohemian pilsener,,
208,¿Cual es  el stock del codigo 21680?,stock,codigo,21680,,
209,¿Cual es la marca del codigo 12195?,marca,codigo,12195,,
210,¿Cual es la marca del codigo 1411?,marca,codigo,1411,,
211,¿Cuáles son el negocio del codigo 19362?,negocio,codigo,19362,,
212,¿Cual es  el stock del codigo 7032?,stock,codigo,7032,,
213,¿Cuáles son  los stocks de la stella artois 20 l barril?,stock,marca,stella artois,calibre,20 l barril
214,¿Cuáles son el negocio del codigo 22454?,negocio,codigo,22454,,
215,¿Cuáles son  los stocks de la patagonia kune 10 l?,stock,marca,patagonia kune,calibre,10 l
216,¿Cual es  el stock del codigo 474?,stock,codigo,474,,
217,¿Cual es la marca del codigo 13410?,marca,codigo,13410,,
218,¿Cuáles son  los stocks de la paso de los toros 950?,stock,marca,paso de los toros,calibre,950
219,¿Cual es  el stock del codigo 22495?,stock,codigo,22495,,
220,¿Cuáles son  los codigos de la quilmes 1890 1000  tetra?,codigo,marca,quilmes 1890,calibre,1000  tetra
221,¿Cual es  el calibre del codigo 17952?,calibre,codigo,17952,,
222,¿Cuáles son  los stocks de la patagonia abrazo oso 300?,stock,marca,patagonia abrazo oso,calibre,300
223,¿Cuáles son  los stocks de la andes origen 355?,stock,marca,andes origen,calibre,355
224,¿Cual es la marca del codigo 24005?,marca,codigo,24005,,
225,¿Cual es la marca del codigo 14097?,marca,codigo,14097,,
226,¿Cual es la marca del codigo 24075?,marca,codigo,24075,,
227,¿Cual es  el stock del codigo 22217?,stock,codigo,22217,,
228,¿Cuáles son  los codigos de la patagonia bohemian pilsener 1000  tetra?,codigo,marca,patagonia bohemian pilsener,calibre,1000  tetra
229,¿Cuáles son  los codigos de la paso de los toros 1250?,codigo,marca,paso de los toros,calibre,1250
230,¿Cual es  el calibre del codigo 19189?,calibre,codigo,19189,,
231,¿Cuáles son  los codigos de la h2oh 2250?,codigo,marca,h2oh,calibre,2250
232,¿Cual es  el calibre del codigo 24248?,calibre,codigo,24248,,
233,¿Cuáles son el negocio del codigo 16668?,negocio,codigo,16668,,
234,¿Cuáles son  los codigos de la marca quilmes 1890?,codigo,marca,quilmes 1890,,
235,¿Cual es  el stock del codigo 12201?,stock,codigo,12201,,
236,¿Cual es  el calibre del codigo 18570?,calibre,codigo,18570,,
237,¿Cuáles son el negocio del codigo 13952?,negocio,codigo,13952,,
238,¿Cual es  el calibre del codigo 7466?,calibre,codigo,7466,,
239,¿Cual es la marca del codigo 22695?,marca,codigo,22695,,
240,¿Cual es  el stock del codigo 24932?,stock,codigo,24932,,
241,¿Cual es  el calibre del codigo 18943?,calibre,codigo,18943,,
242,¿Cual es el negocio de la marca pepsi?,negocio,marca,pepsi,,
243,¿Cual es  el stock del codigo 21984?,stock,codigo,21984,,
244,¿Cuáles son las marcas del calibre 330?,marca,calibre,330,,
245,¿Cuáles son el negocio del codigo 14508?,negocio,codigo,14508,,
246,¿Cual es  el calibre del codigo 18560?,calibre,codigo,18560,,
247,¿Cuáles son  los codigos del calibre 50 l barril?,codigo,calibre,50 l barril,,
248,¿Cuáles son  los stocks de la h2oh 20 l barril?,stock,marca,h2oh,calibre,20 l barril
249,¿Cuáles son el negocio del codigo 18572?,negocio,codigo,18572,,
250,¿Cuáles son el negocio del codigo 22059?,negocio,codigo,22059,,
251,¿Cuáles son  los codigos de la marca andes origen trigueña?,codigo,marca,andes origen trigueña,,
252,¿Cuáles son  los stocks de la mirinda 330?,stock,marca,mirinda,calibre,330
253,¿Cuáles son el negocio del codigo 21967?,negocio,codigo,21967,,
254,¿Cuáles son  los codigos de la patagonia 330?,codigo,marca,patagonia,calibre,330
255,¿Cuáles son  los stocks de la paso de los toros 210?,stock,marca,paso de los toros,calibre,210
256,¿Cual es  el calibre del codigo 17517?,calibre,codigo,17517,,
257,¿Cuáles son el negocio del codigo 838?,negocio,codigo,838,,
258,¿Cual es  el calibre del codigo 666?,calibre,codigo,666,,
259,¿Cual es  el stock del codigo 10970?,stock,codigo,10970,,
260,¿Cual es  el calibre del codigo 11755?,calibre,codigo,11755,,
261,¿Cual es  el stock del codigo 2438?,stock,codigo,2438,,
262,¿Cuáles son  los calibres de la marca zillertal?,calibre,marca,zillertal,,
263,¿Cual es la marca del codigo 20808?,marca,codigo,20808,,
264,¿Cual es  el stock del codigo 11944?,stock,codigo,11944,,
265,¿Cual es  el stock del codigo 8085?,stock,codigo,8085,,
266,¿Cual es  el stock del codigo 7914?,stock,codigo,7914,,
267,¿Cuáles son  los stocks de la stella artois 350?,stock,marca,stella artois,calibre,350
268,¿Cuáles son el negocio del codigo 76446?,negocio,codigo,76446,,
269,¿Cuáles son el negocio del codigo 22365?,negocio,codigo,22365,,
270,¿Cual es  el calibre del codigo 7633?,calibre,codigo,7633,,
271,¿Cuáles son  los codigos de la la virgen 710?,codigo,marca,la virgen,calibre,710
272,¿Cuáles son el negocio del codigo 22969?,negocio,codigo,22969,,
273,¿Cual es  el calibre del codigo 22470?,calibre,codigo,22470,,
274,¿Cual es la marca del codigo 22589?,marca,codigo,22589,,
275,¿Cuáles son  los codigos de la novecento 500?,codigo,marca,novecento,calibre,500
276,¿Cuáles son  los codigos de la patagonia 340?,codigo,marca,patagonia,calibre,340
277,¿Cual es  el stock del codigo 8100?,stock,codigo,8100,,
278,¿Cuáles son el negocio del codigo 7177?,negocio,codigo,7177,,
279,¿Cual es  el calibre del codigo 1422?,calibre,codigo,1422,,
280,¿Cual es  el calibre del codigo 2291?,calibre,codigo,2291,,
281,¿Cuáles son el negocio del calibre 20 l barril?,negocio,calibre,20 l barril,,
282,¿Cuáles son  los stocks de la marca Gancia?,stock,marca,Gancia,,
283,¿Cual es la marca del codigo 309?,marca,codigo,309,,
284,¿Cuáles son  los codigos de la corona 269?,codigo,marca,corona,calibre,269
285,¿Cual es la marca del codigo 20810?,marca,codigo,20810,,
286,¿Cuáles son las marcas del calibre 30 l barril?,marca,calibre,30 l barril,,
287,¿Cuáles son  los codigos de la 7 up 2250?,codigo,marca,7 up,calibre,2250
288,¿Cual es  el stock del codigo 21455?,stock,codigo,21455,,
289,¿Cual es la marca del codigo 1560?,marca,codigo,1560,,
290,¿Cuáles son el negocio del codigo 11945?,negocio,codigo,11945,,
291,¿Cual es la marca del codigo 14194?,marca,codigo,14194,,
292,¿Cuáles son  los codigos de la marca rockstar?,codigo,marca,rockstar,,
293,¿Cuáles son  los codigos de la 7 up 2000?,codigo,marca,7 up,calibre,2000
294,¿Cuáles son  los codigos de la quilmes o.0% 20 l barril?,codigo,marca,quilmes o.0%,calibre,20 l barril
295,¿Cual es la marca del codigo 24167?,marca,codigo,24167,,
296,¿Cual es  el stock del codigo 17994?,stock,codigo,17994,,
297,¿Cual es  el calibre del codigo 22328?,calibre,codigo,22328,,
298,¿Cuáles son  los stocks de la marca andes origen negra?,stock,marca,andes origen negra,,
299,¿Cual es la marca del codigo 19568?,marca,codigo,19568,,
300,¿Cuáles son  los stocks de la patagonia weisse 50 l barril?,stock,marca,patagonia weisse,calibre,50 l barril
301,¿Cuáles son el negocio del codigo 24289?,negocio,codigo,24289,,
302,¿Cual es  el calibre del codigo 24880?,calibre,codigo,24880,,
303,¿Cuáles son  los calibres de la marca red bull?,calibre,marca,red bull,,
304,¿Cual es  el stock del codigo 18438?,stock,codigo,18438,,
305,¿Cual es  el calibre del codigo 14638?,calibre,codigo,14638,,
306,¿Cuáles son  los codigos de la glaciar plus 1200?,codigo,marca,glaciar plus,calibre,1200
307,¿Cual es la marca del codigo 7017?,marca,codigo,7017,,
308,¿Cuáles son las marcas del calibre 1000  tetra?,marca,calibre,1000  tetra,,
309,¿Cual es  el calibre del codigo 24011?,calibre,codigo,24011,,
310,¿Cuáles son el negocio del codigo 7476?,negocio,codigo,7476,,
311,¿Cuáles son el negocio del codigo 20812?,negocio,codigo,20812,,
312,¿Cuáles son las marcas del calibre 330 s/r?,marca,calibre,330 s/r,,
313,¿Cual es la marca del codigo 19545?,marca,codigo,19545,,
314,¿Cuáles son  los stocks de la goose island 355 botella?,stock,marca,goose island,calibre,355 botella
315,¿Cuáles son el negocio del codigo 10700?,negocio,codigo,10700,,
316,¿Cuáles son  los stocks de la stella artois 950?,stock,marca,stella artois,calibre,950
317,¿Cuáles son  los stocks de la guarana 269?,stock,marca,guarana,calibre,269
318,¿Cuáles son el negocio del codigo 21304?,negocio,codigo,21304,,
319,¿Cuáles son  los codigos de la andes origen negra 750?,codigo,marca,andes origen negra,calibre,750
320,¿Cuáles son  los codigos de la dante 1000  tetra?,codigo,marca,dante,calibre,1000  tetra
321,¿Cual es  el calibre del codigo 1427?,calibre,codigo,1427,,
322,¿Cuáles son el negocio del codigo 19341?,negocio,codigo,19341,,
323,¿Cual es  el calibre del codigo 7028?,calibre,codigo,7028,,
324,¿Cual es la marca del codigo 19857?,marca,codigo,19857,,
325,¿Cual es la marca del codigo 16936?,marca,codigo,16936,,
326,¿Cuáles son  los stocks de la marca eco de los andes?,stock,marca,eco de los andes,,
327,¿Cual es la marca del codigo 11755?,marca,codigo,11755,,
328,¿Cual es  el calibre del codigo 17091?,calibre,codigo,17091,,
329,¿Cual es la marca del codigo 820?,marca,codigo,820,,
330,¿Cual es  el stock del codigo 14902?,stock,codigo,14902,,
331,¿Cuáles son  los codigos de la marca andes porter?,codigo,marca,andes porter,,
332,¿Cuáles son  los stocks de la marca leffe?,stock,marca,leffe,,
333,¿Cual es  el calibre del codigo 12067?,calibre,codigo,12067,,
334,¿Cual es  el stock del codigo 19530?,stock,codigo,19530,,
335,¿Cual es  el calibre del codigo 7026?,calibre,codigo,7026,,
336,¿Cual es la marca del codigo 899?,marca,codigo,899,,
337,¿Cual es  el stock del codigo 14221?,stock,codigo,14221,,
338,¿Cuáles son  los calibres de la marca stella artois noire?,calibre,marca,stella artois noire,,
339,¿Cual es  el calibre del codigo 11522?,calibre,codigo,11522,,
340,¿Cual es  el stock del codigo 22994?,stock,codigo,22994,,
341,¿Cual es la marca del codigo 21974?,marca,codigo,21974,,
342,¿Cuáles son  los stocks de la goose island 710?,stock,marca,goose island,calibre,710
343,¿Cual es la marca del codigo 18586?,marca,codigo,18586,,
344,¿Cual es la marca del codigo 2556?,marca,codigo,2556,,
345,¿Cuáles son  los codigos de la goose island 30 l?,codigo,marca,goose island,calibre,30 l
346,¿Cual es la marca del codigo 7126?,marca,codigo,7126,,
347,¿Cual es  el calibre del codigo 61677?,calibre,codigo,61677,,
348,¿Cual es la marca del codigo 22439?,marca,codigo,22439,,
349,¿Cuáles son  los stocks de la Campari 50 l barril?,stock,marca,Campari,calibre,50 l barril
350,¿Cual es la marca del codigo 19362?,marca,codigo,19362,,
351,¿Cual es  el stock del codigo 11755?,stock,codigo,11755,,
352,¿Cual es  el stock del codigo 18562?,stock,codigo,18562,,
353,¿Cuáles son el negocio del codigo 22061?,negocio,codigo,22061,,
354,¿Cual es  el calibre del codigo 811?,calibre,codigo,811,,
355,¿Cuáles son  los calibres de la marca h2oh?,calibre,marca,h2oh,,
356,¿Cual es  el stock del codigo 24878?,stock,codigo,24878,,
357,¿Cuáles son el negocio del codigo 19021?,negocio,codigo,19021,,
358,¿Cual es  el stock del codigo 82?,stock,codigo,82,,
359,¿Cuáles son el negocio del codigo 21014?,negocio,codigo,21014,,
360,¿Cual es  el stock del codigo 2892?,stock,codigo,2892,,
361,¿Cual es  el stock del codigo 24251?,stock,codigo,24251,,
362,¿Cual es la marca del codigo 19336?,marca,codigo,19336,,
363,¿Cual es  el calibre del codigo 2555?,calibre,codigo,2555,,
364,¿Cuáles son  los stocks de la stella artois 30 l?,stock,marca,stella artois,calibre,30 l
365,¿Cual es la marca del codigo 19372?,marca,codigo,19372,,
366,¿Cual es  el calibre del codigo 19089?,calibre,codigo,19089,,
367,¿Cual es la marca del codigo 15178?,marca,codigo,15178,,
